Product Name,Product Use Case / What it is about,Target Group,Date,Sku 
Hemp 5 / Hemp 5 2.0,Natural hemp aroma oil in MCT oil (with internal CBD notes) for relaxation and regeneration.,Individuals in high-stress environments or those with high mental loads.,2020,
Premium Greens,"A massive daily nutritional foundation featuring over 35 ingredients, including superfoods and vitamins.","Everyone seeking a comprehensive, ""one-and-done"" daily health supplement.",December 2024,
Summer Collagen,Mango-flavored collagen with antioxidants to protect skin from UV damage while supporting a tan.,"Women seeking skin protection and a ""glow"" during summer months.",June 2025,
Hemp Seed Topping,Sprouted linseed and hemp seed mix with probiotic cultures to add to porridge or smoothies.,"Consumers seeking extra fiber, Omega-3s, and gut health in their breakfast.",Exclusive 2022 Product,
Sunny Cashew Cream,The first nut puree enriched with Vitamin D for daily immune and bone support.,Health-conscious fans of nut butters looking for a functional twist.,New 2022 Product,
Ashwagandha 10 / 17,"Anxiety-relieving, anti-stress, and soothing effects using pure withanolides.","Everybody, athletes, and vegans.",October 2020,
Wild Brew,Mushroom coffee combining Lion’s Mane and Chaga for mental clarity and focus.,"Students, high-performers, and trendsetters.",August 2020,
Sleep Spray Strong,Melatonin-based oral spray with Ashwagandha and Lavender for falling asleep faster.,Stressed professionals and travelers with jet lag.,September 2025,
Mood / Mood 2.0,"Serotonin booster featuring Cordyceps, L-Tryptophan, and Rosenwurz for better mood and mental energy.","Office athletes and ""everyday heroes"".",March 2019 / Jan 2023,
Recharge,"Post-workout recovery mix with Ashwagandha, amino acids, and minerals.",Pro and hobby athletes after intense training.,January 2020,
Stress Less 2.0,"Reduces stress hormone production (Cortisol) using Ashwagandha, Ginseng, and Lemon Balm.","High-stress professionals (consultants, managers).",August 2020,
Be Complete,"""All-in-one"" foundation featuring Ashwagandha, Reishi, and Cordyceps.",Health-conscious individuals seeking a daily ritual.,September 2024,
Performance Shake Night Mode,"Vegan evening shake with Ashwagandha, Passion Flower, and Lemon Balm for relaxation.","Busy people needing ""healthy fast food"" to calm down.",February 2020,
Daily Gut Pro Reds,"Premium ""all-in-one"" gut powder with 12 billion bacteria, 7 ""red"" superfruits, and digestive enzymes.",Health-conscious individuals seeking advanced gut support.,November 2023,
Happy Gummies (B-Happy),Tropical mood-boost gummies featuring 5-HTP as a serotonin precursor.,Younger consumers who prefer gummies over capsules.,January 2022,
Gut Restore Kapseln,"Intensive 3-in-1 synbiotic (pre-, pro-, and postbiotics) to restore the microbiome.",Consumers recovering from gut issues or antibiotic use.,June 2024,
Collagen + Whey Pulver,2-in-1 protein and beauty drink (21g Whey / 10.5g Collagen) for tone and glowing skin.,Sporty people and beauty-conscious influencers.,August 2023,
PMS Gummies,Sugar-free gummies with Vitamin B6 and botanicals to regulate hormonal activity.,Menstruating women seeking natural symptom relief.,February 2024,
Daily Gut Creamy (Matcha),"Creamy gut-brain axis support powder with Matcha, vitamins, and fiber.",Healthy adults (especially women) focused on mood/gut.,July 2025,
Vegan Omega-3 2.0,100% vegan algae oil high in DHA and EPA for brain and heart health.,"Athletes, vegans, and professionals with high mental load.",February 2020 / Aug 2025,
Trans-Resveratrol,Highly bioavailable polyphenol with antioxidant properties for cellular health.,"Athletes, vegans, and health-conscious adults.",April 2020,
Rocket C8,100% C8 MCT Oil from coconuts for fast ketogenic mental and physical energy.,"Keto-dieters, athletes, and high-performance pros.",October 2019,
Focus,"Enhances concentration and mental performance using Citicoline, Ginkgo, and Brahmi.","Students, office athletes, and pro gamers.",March 2019,
Kickbar / Kickbar 2.0,"Lower-carb nut bar with natural caffeine, guarana, and B-vitamins for a quick energy ""kick"".",Office athletes and students needing a healthy snack.,January 2020,
Smartbar,Cognitive-focused nut bar with Ginseng and B-vitamins for long-term concentration.,Students and professionals in long mental work phases.,February 2020,
"Power Balls (Energy, Focus, Happiness)","Functional nut snacks with target ingredients like Caffeine, Tryptophan, or Vitamin D.","Health-oriented ""snackers"" and on-the-run performers.",March 2019,
Guard,Synbiotic (pre/probiotics) with B-vitamins to support the gut-brain axis and mood.,People with high stress or gut-related mood issues.,October 2019,
Complete Aminos,Drinkable vegan amino acid mix (EAA + 3 extra) for muscle and nutrient coverage.,"Vegans, vegetarians, and sporty people.",May 2020,
Immune Protect,"Ginger-lemon drink with Vitamin D, C, Zinc, and Selenium for daily immune support.",Office workers and everyone during cold seasons.,October 2020,
Antioxidants,Natural complex from Camu-Camu and 20+ superfruits for protection against oxidative stress.,Athletes and individuals in high-stress environments.,January 2020,
Hemp 5 / 2.0,Natural hemp aroma oil in MCT for relaxation and stress management.,Stressed people with high mental load.,December 2020,
Essential Amino Drink,Drinkable vegan amino acid mix (EAA + 3 extra) for muscle maintenance and nutrient coverage.,"Vegans, vegetarians, and sporty individuals.",May 2020,
Daily Fiber 2.0,Optimized fiber blend focusing on Weight Management (satiety and cravings) or Wellbeing (bloating and regularity).,Leads and previous buyers looking for high-intent weight management solutions.,August 2024,
Vitamin D3+,High-dose foundational supplement for immune system support and bone health.,General health-conscious target group (Essentials line).,"Part of ""Essentials""",
Krill Boost,"Premium Omega-3 source from krill oil for heart, brain, and eye health with high bioavailability.",Consumers seeking superior Omega-3 alternatives to standard fish oil.,"Part of ""Essentials""",
Minerals,A comprehensive complex of essential minerals and trace elements for metabolic and physical health.,Individuals looking to cover daily mineral requirements.,"Part of ""Essentials""",
Vegan Basics,"A foundational supplement designed to cover potential nutrient gaps in vegan/vegetarian diets (e.g., B12).",Vegans and vegetarians seeking daily nutritional security.,"Part of ""Essentials""",
Antioxidants,Natural complex from Camu-Camu and 20+ superfruits to protect cells from oxidative stress.,Athletes and individuals in high-stress environments.,January 2020,
Gut Gummies Kids,Specially formulated gut support for children featuring the Bacillus subtilis strain for microbiome diversity.,Parents seeking easy-to-consume gut support for children.,Mentioned in 2024/25 bundles,
B-Calm Gummies,Functional gummies designed for relaxation and calming the nervous system.,"Consumers seeking a convenient, tasty way to manage daily stress.",Mentioned in 2021,
Rocket C8,100% C8 MCT Oil derived from coconuts for fast mental and physical energy in ketosis.,"Keto-dieters, biohackers, and high-performance professionals.",October 2019,
Focus,"Enhances mental performance and concentration using Citicoline, Ginkgo, and Brahmi.","Students, ""office athletes,"" and pro gamers.",March 2019,
Stress Less 2.0,"Reduces cortisol production using Ashwagandha, Ginseng, and Lemon Balm for better stress resilience.","High-stress professionals (managers, consultants).",August 2020,
Immune Protect,"Ginger-lemon drink powder with Vitamin D, C, Zinc, and Selenium for daily immune defense.","Broad target group, especially during the cold and flu seasons.",October 2020,
Trans-Resveratrol,Highly bioavailable polyphenol with powerful antioxidant properties for cellular health.,Health-conscious adults and those focused on anti-aging/longevity.,April 2020,
Guard,Synbiotic (pre/probiotics) with B-vitamins specifically targeting the gut-brain axis and mood support.,People experiencing gut-related mood fluctuations or high stress.,October 2019,
Sunny Nut Creams,"Nut butters (Cashew Salted Caramel, Hazelnut Cacao, Tigernut Raspberry) enriched with Vitamin D for immune and bone support.",Health-conscious breakfast fans looking for a functional twist to their toppings.,October 2022,
Daily Gut Pro (Green Apple),"Premium upgrade featuring 12 billion bacteria, 5 ""greens"" (e.g., Spirulina, Chlorella), and digestive enzymes.","Consumers wanting a ""green"" boost along with their daily gut support.",August 2023,
Daily Glow (Vegan & Collagen),"Raspberry-flavored beauty powder designed to feed healthy skin, hair, and nails with CoQ10 and hyaluronic acid.",Women (95% of target) seeking radiant skin and inner-beauty rituals.,November 2022,
Daily Fiber 2.0,Updated fiber blend with 9 sources (including Inavea™) and chromium to support blood sugar and long-term weight management.,"Individuals focused on satiety, weight management, and regular digestion.",August 2024,
Magnesium Drink,"Highly ""instagrammable"" evening drink (Blueberry Lemon or Lavender) with Magnesium, Ashwagandha, and L-Theanine for relaxation.","People having difficulties calming down after work or seeking a ""Sleepy Girl Mocktail"" alternative.",January 2025,
Hydrate Drink,"Low-waste electrolyte and vitamin drink for daily hydration, targeting wellness and focus.","Gamers, students, and active people focused on ""clever hydration"".",May 2023,
PMS Gummies,Sugar-free raspberry-melissa gummies to regulate hormonal activity and reduce PMS symptoms.,Menstruating women struggling with PMS.,March 2024,
Gummies B-Sleepy,Melatonin-based fruit gummies designed to support faster sleep onset and recovery.,Consumers with sleep difficulties or those experiencing jet lag.,April 2021,
Sleep Spray Pro,A specialized sleep aid utilizing advanced TINYsphere® absorption technology for high efficacy.,High-intent sleep seekers.,2025,
Deep Sleep,Capsule-based supplement focused on supporting overnight rest and recovery phases.,People seeking deeper rest phases.,2024,
Rocket Coffee,A high-performance coffee blend designed specifically for ketogenic energy and focus.,Biohackers and high-performance professionals.,2019,
Gut Shape,A targeted supplement designed to provide support for individuals on weight management journeys.,High-intent weight management consumers.,2024,
Gut Bar / Happy Bar / Energy Bar,"Portable functional nutrition for gut health, mood, and stamina.",Health-oriented snackers and performers.,2020/2021,
Vitamin C & Zinc,High-bioavailability capsules intended for focused daily immune system support.,Health-conscious consumers; everyone wanting to support their immune system.,September 2025,
Essentials Guard,A foundational gut health supplement featuring 20 bacterial strains combined with acacia and dextrin fibers.,General target group looking for daily gut health and overall well-being.,June 2021,
Daily Gut Kapseln (Retail),Foundations for a healthy gut microbiome in a retail-friendly capsule format.,Broad health-conscious retail demographic.,December 2025,
Advent Calendar 2022,"A comprehensive 24-day product collection featuring various functional snacks, gummies, and supplement rituals.",Existing brand fans and health-curious newcomers.,May 2022,
Daily Fiber 2.0,Drinking powder with 9 fiber sources and chromium to support daily fiber needs and maintain normal blood sugar levels. Low FODMAP and includes branded Inavea™.,General health-conscious individuals; suitable for pregnant and nursing mothers.,August 2024,
Daily Gut + Collagen (Creamy Hazelnut),"Co-creation with Lizzi. Combines 10g of collagen with 12 billion bacteria, Ceramosides™, and biotin to support skin, hair, and gut health.","Healthy adults (18+), especially women focused on beauty-from-within and gut health.",April 2025,
Vitamin C & Zinc,High-dose immune support featuring PureWay-C™ (liposomal Vitamin C) and Zinc Bisglycinate for superior absorption.,"Adults seeking strong immune support, especially during winter; not suitable for children.",August 2025,
Gut Shape Kapseln,Premium 2-in-1 supplement using Reducose® and HOWARU® Shape to reduce blood sugar spikes and help achieve weight goals.,Adults (18+) focused on weight management and metabolic health.,October 2024,
